team1,setswon1,team2,setswon2
NU,3,UE,1
ADMU,3,UST,0
UP,3,ADU,0
DLSU,3,FEU,0
ADU,3,FEU,0
NU,3,ADMU,1
UE,0,UP,3
DLSU,3,UST,1
NU,3,ADU,0
ADMU,3,FEU,2
UP,3,DLSU,0
UST,3,UE,0
FEU,3,UE,1
ADU,0,ADMU,3
UST,1,UP,3
NU,0,DLSU,3
ADMU,3,UE,0
DLSU,3,ADU,0
UST,3,ADU,0
FEU,3,NU,1
UE,0,DLSU,3
ADMU,3,UP,0
FEU,3,UP,1
UST,3,NU,1
FEU,1,UST,3
DLSU,1,ADMU,3
UE,3,ADU,1
UP,2,NU,3
NU,3,ADU,0
DLSU,3,FEU,0
UST,3,UE,0
ADMU,3,UP,0
FEU,3,ADU,0
DLSU,3,NU,1
UP,3,UE,1
ADMU,3,UST,0
UST,3,ADU,1
FEU,3,ADMU,2
UE,1,NU,3
DLSU,3,UP,0
UP,3,ADU,0
ADMU,2,NU,3
UE,0,DLSU,3
UST,3,FEU,1
ADU,0,ADMU,3
NU,1,UP,3
FEU,3,UE,0
DLSU,3,UST,0
ADU,0,DLSU,3
NU,0,FEU,3
UE,0,ADMU,3
UP,0,UST,3
ADU,3,UE,0
FEU,3,UP,0
UST,3,NU,2
ADMU,3,DLSU,1
